City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Smithers,CA,2021-11-05 21:13:43,54.7804,-127.1743,39.65,99,100,2.13
226,Dzhebariki-Khaya,RU,2021-11-05 21:17:13,62.2167,135.8,7.12,94,100,7.23
227,Ampanihy,MG,2021-11-05 21:17:13,-24.7,44.75,65.12,77,0,12.37
228,Guatire,VE,2021-11-05 21:17:14,10.4762,-66.5427,81.1,71,67,4.43
229,Bengkulu,ID,2021-11-05 21:17:14,-3.8004,102.2655,74.86,91,100,5.93
230,Port Hedland,AU,2021-11-05 21:17:14,-20.3167,118.5667,77.05,65,24,9.22
231,Port-Gentil,GA,2021-11-05 21:17:15,-0.7193,8.7815,78.8,83,100,12.06
232,Ryotsu,JP,2021-11-05 21:18:15,38.0833,138.4333,54.79,76,12,5.19
233,Alyangula,AU,2021-11-05 21:18:15,-13.8483,136.4192,82.26,71,29,5.97
234,Brunico,IT,2021-11-05 21:18:16,46.7958,11.9364,36.07,86,58,3.09
235,Oxford,GB,2021-11-05 21:14:29,51.7522,-1.256,48.78,93,40,5.75
236,Beringovskiy,RU,2021-11-05 21:18:16,63.05,179.3167,-0.36,83,90,5.21
237,Faanui,PF,2021-11-05 21:18:17,-16.4833,-151.75,79.43,75,98,9.6
238,Lebu,CL,2021-11-05 21:18:17,-37.6167,-73.65,56.17,73,0,19.42
239,Norman Wells,CA,2021-11-05 21:18:17,65.282,-126.8329,15.84,92,90,0.0
240,Lasa,IT,2021-11-05 21:18:17,46.6166,10.7002,36.63,83,22,4.7
241,Clyde River,CA,2021-11-05 21:18:18,70.4692,-68.5914,26.83,100,75,17.27
242,Gualeguaychu,AR,2021-11-05 21:18:18,-33.0094,-58.5172,56.98,80,100,14.0
243,Sorland,NO,2021-11-05 21:18:19,67.667,12.6934,39.27,87,100,14.2
244,Sainte-Maxime,FR,2021-11-05 21:18:19,43.3,6.6333,57.96,61,44,6.58
245,Plouzane,FR,2021-11-05 21:18:19,48.3833,-4.6167,47.08,97,90,3.44
246,Westport,US,2021-11-05 21:18:20,41.1415,-73.3579,53.42,45,1,4.0
247,Macon,US,2021-11-05 21:18:20,39.8667,-88.9668,53.76,43,1,10.36
248,San Luis,AR,2021-11-05 21:18:20,-33.295,-66.3356,63.57,19,100,15.14
249,Severnyy,RU,2021-11-05 21:18:21,50.677,36.5532,51.84,93,90,15.66
250,Abu Dhabi,AE,2021-11-05 21:18:02,24.4667,54.3667,80.71,65,0,2.3
251,Kotovo,RU,2021-11-05 21:18:21,50.3211,44.8012,41.4,45,55,13.33
252,Mnogovershinnyy,RU,2021-11-05 21:18:22,53.9353,139.9242,26.82,91,100,5.73
253,Ahipara,NZ,2021-11-05 21:18:22,-35.1667,173.1667,64.8,78,8,3.65
254,Bulgan,MN,2021-11-05 21:16:44,48.8125,103.5347,9.9,33,0,3.49
255,Castanhal,BR,2021-11-05 21:18:23,-1.2939,-47.9264,83.79,76,100,4.81
256,Praia,CV,2021-11-05 21:18:23,14.9215,-23.5087,77.54,83,40,13.8
